dedup_id,year,protocol,r2
REC-001,2025,random_kfold,0.9867
REC-002,2025,random_kfold,
REC-003,2025,random_kfold,0.9953
REC-004,2024,random_kfold,0.991
REC-005,2023,random_kfold,
REC-006,2025,random_kfold,
REC-007,2025,unclear,0.93
REC-008,2025,random_kfold,
REC-009,2025,random_kfold,0.9953
REC-010,2024,temporal_holdout,
REC-011,2021,random_kfold,0.0
REC-012,2025,random_kfold,0.994
REC-015,2022,random_kfold,0.0821
REC-016,2025,random_kfold,0.9953
REC-017,2020,temporal_holdout,
REC-018,2025,unclear,0.9853
REC-019,2021,random_kfold,
REC-020,2025,random_kfold,0.9953
REC-021,2025,random_kfold,0.9953
REC-022,2025,random_kfold,0.9953
REC-023,2025,random_kfold,1.0
REC-026,2025,random_kfold,
REC-027,2025,random_kfold,
REC-028,2025,random_kfold,
REC-030,2025,random_kfold,0.949
REC-031,2024,random_kfold,
REC-032,2019,random_kfold,
REC-033,2025,temporal_holdout,0.859
REC-034,2025,random_kfold,0.9747
REC-035,2022,random_kfold,
REC-036,2025,random_kfold,
REC-037,2023,random_kfold,0.97
REC-039,2024,unclear,
REC-040,2022,unclear,
REC-041,2021,unclear,
REC-043,2023,unclear,
REC-045,2022,random_kfold,
REC-047,2025,unclear,0.993
REC-048,2025,random_kfold,
REC-049,2019,random_kfold,0.9953
REC-050,2021,unclear,
REC-053,2021,temporal_holdout,
REC-054,2023,unclear,
REC-056,2021,unclear,
REC-057,2019,unclear,0.9707
REC-060,2021,random_kfold,
REC-067,2023,random_kfold,
REC-069,2024,random_kfold,
REC-070,2019,unclear,
REC-071,2021,random_kfold,
REC-072,2025,unclear,
REC-075,2024,random_kfold,
REC-079,2025,unclear,
REC-081,2020,unclear,0.99
REC-082,2025,unclear,
REC-090,2024,unclear,0.96
REC-091,2023,random_kfold,
REC-092,2023,random_kfold,
REC-104,2020,unclear,
REC-105,2024,random_kfold,0.961
REC-106,2025,random_kfold,0.9953
REC-112,2022,random_kfold,0.94
REC-136,2020,random_kfold,
REC-138,2021,unclear,
REC-140,2025,random_kfold,0.94
REC-146,2021,unclear,
REC-147,2023,unclear,
REC-148,2020,unclear,
REC-153,2025,unclear,0.9714
REC-154,2025,random_kfold,0.9617
REC-158,2024,temporal_holdout,
REC-164,2018,unclear,
REC-214,2025,random_kfold,
REC-216,2023,random_kfold,
REC-217,2023,random_kfold,0.9666
REC-219,2022,random_kfold,
REC-220,2023,random_kfold,
REC-221,2024,random_kfold,0.9953
REC-222,2023,random_kfold,0.972
REC-223,2024,unclear,0.45
REC-224,2025,random_kfold,0.9545
REC-225,2023,random_kfold,
REC-227,2022,temporal_holdout,
REC-229,2022,random_kfold,
REC-230,2023,unclear,
REC-231,2025,random_kfold,0.9284
REC-234,2024,unclear,
REC-235,2025,random_kfold,
REC-236,2020,random_kfold,
REC-237,2020,unclear,
REC-238,2024,unclear,0.8324
REC-239,2024,random_kfold,
REC-241,2025,unclear,
REC-245,2025,random_kfold,0.93
REC-248,2019,unclear,
REC-249,2023,random_kfold,0.1
REC-250,2019,unclear,0.7784
REC-251,2018,random_kfold,
REC-252,2020,unclear,
REC-254,2019,random_kfold,0.9906
REC-255,2023,random_kfold,0.9887
REC-259,2021,random_kfold,0.9938
REC-261,2023,random_kfold,0.995
REC-262,2022,random_kfold,
REC-263,2023,unclear,
REC-264,2018,unclear,
REC-265,2021,temporal_holdout,
REC-267,2020,unclear,
REC-268,2017,random_kfold,
REC-273,2017,unclear,
REC-275,2023,unclear,
REC-277,2020,unclear,
REC-283,2020,random_kfold,
REC-287,2022,random_kfold,
REC-288,2021,random_kfold,
REC-290,2021,unclear,
REC-293,2017,unclear,0.93
REC-295,2022,random_kfold,0.9993
REC-296,2025,random_kfold,
REC-297,2019,unclear,
REC-298,2020,random_kfold,
REC-311,2019,random_kfold,
REC-313,2020,random_kfold,
REC-322,2017,unclear,
REC-327,2023,unclear,
REC-330,2022,random_kfold,
REC-332,2021,random_kfold,0.985
REC-338,2021,unclear,
REC-346,2023,random_kfold,
REC-359,2023,random_kfold,
REC-360,2022,random_kfold,
REC-361,2023,random_kfold,
REC-362,2019,unclear,0.835
REC-363,2022,unclear,
REC-364,2022,temporal_holdout,
REC-366,2025,temporal_holdout,
REC-367,2023,random_kfold,
REC-369,2025,random_kfold,
REC-370,2021,blocked_cv,
REC-371,2021,random_kfold,0.9952
REC-372,2017,unclear,
REC-373,2025,random_kfold,0.9994
REC-389,2021,random_kfold,
REC-396,2021,unclear,
REC-399,2018,temporal_holdout,
REC-401,2024,random_kfold,
REC-402,2023,unclear,
REC-413,2025,unclear,0.9975
REC-431,2021,unclear,0.9994
REC-437,2023,unclear,
REC-478,2022,unclear,
REC-479,2025,random_kfold,0.9953
REC-480,2025,unclear,
REC-482,2024,unclear,
REC-483,2021,temporal_holdout,0.6
REC-484,2024,random_kfold,
REC-485,2023,unclear,
REC-486,2024,random_kfold,
REC-487,2025,random_kfold,0.999
REC-489,2025,random_kfold,0.999
REC-492,2024,temporal_holdout,0.373
REC-494,2025,random_kfold,0.9981
REC-495,2022,unclear,
REC-498,2025,unclear,0.95
REC-499,2015,random_kfold,
REC-500,2023,random_kfold,
REC-501,2025,random_kfold,0.9746
REC-502,2024,random_kfold,
REC-503,2025,random_kfold,0.0007
REC-504,2024,random_kfold,0.9953
REC-505,2023,random_kfold,
REC-506,2025,random_kfold,0.881
REC-507,2024,temporal_holdout,0.7423
REC-509,2025,random_kfold,0.95
REC-511,2025,random_kfold,0.9953
REC-513,2024,unclear,
REC-515,2022,random_kfold,0.999
REC-520,2025,unclear,0.683
REC-521,2022,unclear,
REC-522,2025,random_kfold,
REC-525,2017,unclear,
REC-526,2023,unclear,
REC-528,2025,unclear,
REC-533,2024,unclear,
REC-536,2023,unclear,
REC-538,2020,random_kfold,
REC-539,2024,unclear,0.9082
REC-541,2025,unclear,
REC-542,2024,unclear,
REC-544,2025,unclear,
REC-547,2025,unclear,
REC-558,2025,unclear,
REC-559,2016,unclear,
REC-585,2018,random_kfold,
REC-591,2024,unclear,
REC-592,2020,unclear,
UREC-001,2026,random_kfold,
UREC-003,2026,unclear,0.9904
UREC-004,2026,random_kfold,1.0
UREC-005,2026,unclear,
UREC-012,2026,random_kfold,
UREC-018,2026,temporal_holdout,0.991
UREC-020,2026,temporal_holdout,
UREC-027,2026,temporal_holdout,0.982
UREC-029,2026,temporal_holdout,
UREC-031,2026,random_kfold,
UREC-033,2026,unclear,
UREC-035,2026,unclear,0.997
UREC-039,2026,unclear,
UREC-040,2026,unclear,
UREC-046,2026,unclear,0.96
UREC-058,2026,temporal_holdout,0.9544
UREC-066,2026,unclear,0.74
UREC-076,2026,temporal_holdout,
UREC-081,2026,unclear,0.99
UREC-089,2026,unclear,
UREC-092,2026,random_kfold,
UREC-105,2026,random_kfold,0.961
UREC-107,2026,random_kfold,0.977
UREC-111,2026,unclear,
UREC-114,2026,random_kfold,0.942
UREC-115,2026,random_kfold,
UREC-124,2026,random_kfold,0.98
UREC-136,2026,random_kfold,
UREC-140,2026,random_kfold,
UREC-165,2026,blocked_cv,0.9981
UREC-172,2026,unclear,0.998
UREC-174,2026,random_kfold,
UREC-180,2026,temporal_holdout,0.966
UREC-194,2026,unclear,
UREC-197,2026,temporal_holdout,
UREC-200,2026,temporal_holdout,0.971
UREC-201,2026,unclear,
UREC-208,2026,unclear,
UREC-245,2026,random_kfold,0.93
UREC-249,2026,unclear,
UREC-275,2026,unclear,
UREC-281,2026,temporal_holdout,0.933
UREC-282,2026,random_kfold,
UREC-283,2026,random_kfold,
UREC-284,2026,random_kfold,0.9998
UREC-285,2026,unclear,
UREC-288,2026,unclear,
UREC-292,2026,random_kfold,0.982
UREC-297,2026,random_kfold,
UREC-298,2026,random_kfold,0.977
UREC-307,2026,random_kfold,0.945
UREC-309,2026,temporal_holdout,
UREC-310,2026,blocked_cv,0.978
UREC-318,2026,unclear,
UREC-333,2026,random_kfold,
UREC-352,2026,unclear,
UREC-354,2026,random_kfold,0.9867
UREC-355,2026,unclear,
UREC-017,2026,random_kfold,
REC-353,2023,unclear,
REC-228,2025,random_kfold,
UREC-106,2026,random_kfold,
REC-294,2024,temporal_holdout,
REC-066,2021,unclear,
REC-155,2021,random_kfold,
UREC-011,2026,temporal_holdout,0.996
REC-101,2020,random_kfold,
REC-354,2018,unclear,
REC-102,2020,random_kfold,
REC-218,2022,random_kfold,
REC-319,2023,random_kfold,0.995
REC-397,2019,random_kfold,
REC-073,2020,random_kfold,
REC-493,2025,random_kfold,
REC-496,2023,unclear,0.917
REC-497,2025,random_kfold,0.9999
