dedup_id,title,authors,year,venue,doi,url,abstract,source_database,string_id,also_found_in,title_screen,title_fail_reason,abstract_length,abstract_screen,abstract_fail_reason
REC-001,An integrated method of advanced optimisation and adaptive ensemble learning for ship fuel consumption prediction,"Wenjie Cao, Xinjian Wang, Yaqing Shu, Huanhuan Li, Jingen Zhou, Zaili Yang",2026,Transportation Research Part C Emerging Technologies,10.1016/j.trc.2026.105659,https://doi.org/10.1016/j.trc.2026.105659,"• Proposes an adaptive cluster-based multi-ensemble (ACME) model for robust ship fuel consumption prediction. • Develops a SHAP-weighted multi-model feature selection (SWFS) algorithm for dimensionality reduction. • Introduces a hierarchical adaptive parameter space exploration (HAPSE) method for efficient tuning. • Establishes a dual-layer SHAP framework for global and local model interpretability. • Integrates multi-source data fusion to enhance prediction accuracy and operational relevance. Accurate prediction and interpretable analysis of Ship Fuel Consumption (SFC) are critical for optimising maritime operations and supporting decarbonisation efforts in maritime transport, yet existing approaches face significant challenges including limited model generalisation, redundant features due to multi-source data integration, and a lack of transparency in model outputs. These limitations stem from fragmented modelling pipelines that fail to holistically address the challenges of data heterogeneity, feature relevance, parameter tuning, and model adaptability in complex maritime environments. To address these challenges, this study develops an integrated framework that comprises advanced optimisation techniques with adaptive ensemble learning, structured through a synergised pipeline of four technical components. Firstly, multi-source data fusion employs spatio-temporal alignment to integrate ship noon reports, Automatic Identification System data, ECMWF Reanalysis v5, and Global Ocean Physics Analysis and Forecast data, to construct a comprehensive feature space. Secondly, a SHAP-based Weighted Feature Selection algorithm leverages multi-model SHapley Additive exPlanations (SHAP) value assessment with recursive feature elimination to identify and eliminate redundant features, enhancing model generalisation and prediction efficiency. Thirdly, a Hierarchical Adaptive Parameter Space Exploration algorithm integrates global random search and local grid search for efficient hyperparameter optimisation. Finally, an Adaptive Cluster-based Multi-Ensemble model incorporates data clustering and model fusion to capture operational heterogeneity and adaptively assign optimal weights across different data clusters. Comparative experiments demonstrate that the proposed model significantly outperforms six mainstream machine learning models and three classical ensemble methods across multiple evaluation metrics. Moreover, SHAP-based interpretability analysis quantifies feature contributions and reveals specific effects of value changes, enhancing model transparency for decision support. This framework provides a robust technical solution for SFC prediction, offering reliable data-driven tools for energy efficiency management and sustainable maritime operations. The source code is publicly available at: https://github.com/AdvMarTech/ship_fuel_consum_predic .",OpenAlex,A,OpenAlex/A; OpenAlex/B; Scopus/A; Scopus/B,PASS,,2890,INCLUDE,
REC-003,A hybrid physics-informed and data-driven model for fuel consumption prediction of wind-assisted ships,"Jinfeng Zhang, Fuqi Qiao, Hua Wang, Weihao Ma",2026,Ocean Engineering,10.1016/j.oceaneng.2026.124910,https://doi.org/10.1016/j.oceaneng.2026.124910,,OpenAlex,A,OpenAlex/A; OpenAlex/C; Scopus/A; Scopus/C,PASS,,0,UNCERTAIN,no-abstract; title relevant
REC-004,A CFD-informed machine learning framework for generalized ship resistance prediction under wind and wave conditions,"Yangyang Zhai, Xuefeng Yang, Shengli Chen",2026,Ocean Engineering,10.1016/j.oceaneng.2026.124759,https://doi.org/10.1016/j.oceaneng.2026.124759,,OpenAlex,A,OpenAlex/A; Scopus/A,PASS,,0,UNCERTAIN,no-abstract
REC-005,Optimal operational method for hybrid propulsion ships using operation data,"Yoon-Gyu Jang, Ki-Su Kim",2026,International Journal of Naval Architecture and Ocean Engineering,10.1016/j.ijnaoe.2026.100761,https://doi.org/10.1016/j.ijnaoe.2026.100761,"With the recent tightening of greenhouse gas (GHG) reduction targets by the International Maritime Organization (IMO), there is a growing need for data-driven energy management and operation planning for ships. Electric propulsion hybrid ships, in particular, can operate in multiple propulsion modes depending on the power sharing between generators and batteries, and their fuel consumption strongly depends on sea states and route conditions. This study proposes an integrated, data-driven framework for mode-aware optimal operation of a direct-current (DC)-based serial electric propulsion hybrid ship. In-service operational data from a electric propulsion hybrid demonstration ship were combined with reanalysis-based metocean data to construct a comprehensive dataset that couples propulsion, power-system, and environmental variables. Using this dataset, mode-specific fuel-consumption and fuel-efficiency characteristics were derived, and Light Gradient Boosting Machine (LightGBM) models were trained to predict generator load or fuel efficiency for each propulsion mode as functions of ship speed and metocean conditions. The prediction models were validated against independent voyage records, and the sensitivity of route-level fuel-consumption error to segment length was analyzed to select an appropriate spatial discretization. The validated models were then embedded into a two-stage optimal operation framework. A coastal route was first generated using an A*-based path planner with quadtree and Voronoi representations of coastal geometry. Subsequently, a genetic algorithm (GA) was used to determine the speed and propulsion mode in each route segment so as to minimize total fuel consumption under battery state-of-charge (SOC) and arrival-time constraints. Applications to coastal and offshore routes demonstrated substantial reductions in total fuel consumption relative to actual operations, indicating that the proposed framework can serve as a practical basis for developing energy-efficient, low-emission operational strategies for next-generation electric propulsion hybrid ships. • This study analyzes the operational characteristics of an electric-propulsion hybrid ship and embeds them into route planning. • Mode-dependent fuel-economy characteristics are extracted from in-service operational data and visualized using heatmaps. • A machine-learning-based model is developed and validated to predict generator load and fuel-economy performance under operating conditions. • Operation optimization is conducted in two stages: coastal-feature-aware route generation and mode-aware optimization to minimize fuel consumption along the route. • Case studies for coastal and offshore routes demonstrate meaningful reductions in total fuel consumption through the proposed framework.",OpenAlex,A,OpenAlex/A; Scopus/A,PASS,,2810,INCLUDE,
REC-011,Power Prediction for Marine Gas Turbine Plants Using a Condition-Adaptive Physics-Informed LSTM Model,"Jinwei Chen, Zhenchao Hu, Huisheng Zhang",2026,Journal of Marine Science and Engineering,10.3390/jmse14060532,https://doi.org/10.3390/jmse14060532,"The accurate prediction of gas turbine output power is critical for flexible scheduling and shipboard microgrid resilience. However, purely data-driven models suffer from poor generalization and physical inconsistency in complex marine environments, especially under unseen operation conditions. This paper proposes a condition-adaptive physics-informed long short-term memory (CAPI-LSTM) framework to ensure physical consistency across the full operation envelope. In the proposed framework, an MLP-based condition-adaptive regulator is developed to dynamically adjust the compressor air flow rate within the embedded physics-informed loss function. The proposed CAPI-LSTM model is verified using the operation data from an LM2500+ gas turbine. The comparison results demonstrate the superiority of the proposed method over traditional architectures. The CAPI-LSTM model achieves the lowest root mean square error of 0.177 MW, and its error distribution is the most concentrated near zero among all compared models. The robustness of the CAPI-LSTM model is further verified under the unseen operation conditions. The CAPI-LSTM still maintains excellent generalization capability compared to both purely data-driven models and standard physics-informed models, with an average error of only 0.218 MW and a narrow interquartile range of [0.058, 0.363]. The paired t-test results confirm that the improvement of the CAPI-LSTM model is statistically significant. The CAPI-LSTM model achieves competitive computational efficiency despite the integration of the physics-informed loss function with a condition-adaptive regulator. Furthermore, the CAPI-LSTM model achieves superior performance in noise immunity and transferability to other types of gas turbines. In summary, the proposed CAPI-LSTM model provides an effective and practical solution for marine gas turbine output power prediction.",OpenAlex,A,OpenAlex/A; OpenAlex/C; OpenAlex/D,PASS,,1891,EXCLUDE,E5:microgrid
REC-012,Proactive fault prediction in marine diesel engines using multivariate machine learning,"Miral Michel, Ahmed Mehanna, Sherine Nagy Saleh, Ahmed S. Shehata",2026,Scientific Reports,10.1038/s41598-026-40979-5,https://doi.org/10.1038/s41598-026-40979-5,"Ocean shipping is the backbone of international trade contributing to global economic growth. Consequently, ensuring that ships operate in an energy-efficient manner is crucial to a more sustainable global transportation. Engine failures in these contexts can lead to severe consequences including compromised safety, operational disruptions, and substantial economic losses ranging between 10% and 30% of total operating costs due to unscheduled maintenance. The proposed research integrates marine diesel engines diagnostics with machine learning (ML) algorithms to develop an advanced proactive maintenance strategy to anticipate engine performance trends and proactively identify potential faults before they escalate. Employing an experimental approach on a 4-stroke diesel engine, the controlled simulations were conducted to replicate various failure scenarios to collect data and capture crucial metrics such as temperatures across cylinders, vibrations along axes, and fluctuations in cooling water temperatures. The data were analysed using advanced ML algorithms aimed at enhancing the accuracy and reliability of future fault prediction, by employing a multivariate convolutional long short-term memory (ConvLSTM) model tailored for time series analysis, and a classification model using a random forest (RF) classifier. As a result, the ConvLSTM model decreased the RMSE by 15.4453% compared to decision tree regression models, while the RF classifier achieved an accuracy of 82.168%.",OpenAlex,A,OpenAlex/A; OpenAlex/B; OpenAlex/D,PASS,,1497,INCLUDE,
REC-013,Enhancement of Reactive Power and Efficiency Using Hybrid Compensation Approach for Supply Vessels,"Erdem Fikir, Mustafa Nuran",2026,Journal of Marine Science and Engineering,10.3390/jmse14050463,https://doi.org/10.3390/jmse14050463,"Reactive power compensation (RPC) in ships is critical for the stability, efficiency, and safety of the electric power system. It ensures voltage stability, reduces generator and alternator load, and adapts to dynamic and variable loads. This study evaluates the ship’s electrical power system. The implementation of advanced compensation strategies across three distinct operational scenarios is intended to systematically mitigate reactive load demand, thereby contributing to the enhancement of overall power utilization efficiency and ensuring improved stability of the vessel’s energy management framework. Three real-life data sets (148, 120, and 102 min) were analyzed to extract reactive power variations. MATLAB R2023b is used to calculate and graph required compensation and capacitance, generated time-series responses, and produced comparative graphs, enabling evaluation of the most effective compensation strategy for a shipboard microgrid in diesel–electric supply vessel systems. The findings highlight the importance of advanced control algorithms, predictive management, and hybrid compensation topologies in achieving reliable and efficient reactive power management in ships. There were three distinct situations in which the goal power factor (PF) values of 0.90, 0.95, and 0.98 were analyzed. These values were determined under three load conditions. Within the context of operations, compensating just up to 0.90 resulted in savings of 6.26%; however, optimizing up to 0.98 resulted in an increase in savings to 13.91%, which is over double the amount.",OpenAlex,A,OpenAlex/A,MAYBE,,1575,EXCLUDE,E5:microgrid
REC-016,"Energy Management Strategies for Fuel Cell Hybrid Ships: Classification, Comparison, and Outlook","Mengxin Bai, Weishun Ke, Cheng-Han Wu, Huan Cheng, Junmiao Zhang, Xinglin Yang",2026,Energies,10.3390/en19051171,https://doi.org/10.3390/en19051171,"This paper reviews research on energy management strategies (EMSs) for fuel-cell hybrid ships and introduces a “topology–strategy coupling” analytical framework, dividing system topology into two layers: energy-unit composition and DC-bus interface topology. It also introduces key concepts, such as EMS-independent dispatchability and the dominant DC-bus voltage-regulation unit. Based on this framework, the paper explains why certain strategies are easier to implement, tune, and validate under specific interface structures by considering the impact of interface topology on hybrid system efficiency and typical EMS constraints. It presents a unified four category EMS taxonomy, treating hybrid EMSs as a distinct class, and provides cross-category comparisons of different strategies. Additionally, it discusses the consistency and validation challenges when learning-based strategies transition from simulation to onboard deployment and further synthesizes mainstream approaches for integrating lifetime/health considerations into EMSs and their corresponding degradation modeling. Furthermore, the paper conducts a quantitative synthesis of relevant studies from 2016 to 2025, statistically summarizing and presenting the distributional characteristics of energy-unit composition, strategy categories, commonly used methods, validation approaches, and the inclusion of lifetime/health factors. In doing so, it uses data to describe the current state of research and identifies the key challenges and future research directions.",OpenAlex,A,OpenAlex/A; OpenAlex/C; OpenAlex/D,MAYBE,,1534,EXCLUDE,E1:non-performance-topic
REC-017,Scientific Knowledge-Guided Machine Learning for Vessel Power Prediction: A Comparative Study,"Ορφέας Μπούρχας, George Papalambrou",2026,Open MIND,10.48550/arxiv.2602.18403,https://doi.org/10.48550/arxiv.2602.18403,"Accurate prediction of main engine power is essential for vessel performance optimization, fuel efficiency, and compliance with emission regulations. Conventional machine learning approaches, such as Support Vector Machines, variants of Artificial Neural Networks (ANNs), and tree-based methods like Random Forests, Extra Tree Regressors, and XGBoost, can capture nonlinearities but often struggle to respect the fundamental propeller law relationship between power and speed, resulting in poor extrapolation outside the training envelope. This study introduces a hybrid modeling framework that integrates physics-based knowledge from sea trials with data-driven residual learning. The baseline component, derived from calm-water power curves of the form $P = cV^n$, captures the dominant power-speed dependence, while another, nonlinear, regressor is then trained to predict the residual power, representing deviations caused by environmental and operational conditions. By constraining the machine learning task to residual corrections, the hybrid model simplifies learning, improves generalization, and ensures consistency with the underlying physics. In this study, an XGBoost, a simple Neural Network, and a Physics-Informed Neural Network (PINN) coupled with the baseline component were compared to identical models without the baseline component. Validation on in-service data demonstrates that the hybrid model consistently outperformed a pure data-driven baseline in sparse data regions while maintaining similar performance in populated ones. The proposed framework provides a practical and computationally efficient tool for vessel performance monitoring, with applications in weather routing, trim optimization, and energy efficiency planning.",OpenAlex,A,OpenAlex/A; OpenAlex/C; Semantic Scholar/C; OpenAlex/A; OpenAlex/C; arXiv/A; arXiv/C,PASS,,1755,EXCLUDE,E1:weather routing
REC-018,Machine learning for ship fuel consumption prediction from sensory data: a comparative analysis,"Nabil Habib Zahmani, Onur Yüksel, Eduardo Blanco-Davis, Nikolaos Tsoulakos",2026,Journal of Marine Engineering & Technology,10.1080/20464177.2026.2673233,https://doi.org/10.1080/20464177.2026.2673233,"Machine learning models are increasingly used to predict ship fuel consumption from high-frequency operational data. However, the strong temporal autocorrelation of shipboard sensor measurements raises concerns regarding the validity of commonly adopted evaluation practices. Many existing studies rely on random data partitioning and cross-validation schemes that can introduce information leakage, resulting in overly optimistic performance estimates. This study examined the impact of the validation strategy on fuel consumption prediction using one-minute operational data collected from a bulk carrier over approximately 16 months. Gradient-boosted decision tree models (XGBoost and CatBoost) and deep learning architectures were evaluated using three validation schemes: random train–test splitting, blocked chronological hold-out, and rolling-window temporal evaluation. The results demonstrate that random splitting substantially inflates the predictive performance, with coefficients of determination exceeding 0.99, whereas temporally consistent validation reveals significantly reduced accuracy and performance degradation across unseen operating periods. Under realistic temporal testing, gradient-boosted models exhibit greater robustness than deep learning models, which exhibit higher sensitivity to distributional shifts. These findings highlight the critical importance of temporally aware validation for obtaining credible generalisation estimates in ship fuel consumption modelling.",OpenAlex,A,OpenAlex/A; Scopus/A,PASS,,1501,INCLUDE,
